id,nume,categorie,descriere,imagine_url,pret
11,Vaza semiluna,Decoratiuni,"Aceasta vaza in forma de semiluna aduce o nota moderna si minimalista oricarei locuinte, cu o forma curbata care atrage privirea. Are un suport central perfect pentru plante mici sau flori discrete. Alegi culoarea potrivita si transformi orice colt al casei.",{https://gvqgmivhqfsdswrtaxyl.supabase.co/storage/v1/object/public/imagini-produse/Vaza%20luna.png},
12,Vaza moderna,Decoratiuni,"O vaza cu un design modern si original, perfecta pentru cei care vor sa aduca un plus de personalitate in locuinta. Se remarca prin calitatea finisajului si atentia la detalii. Ideala si ca idee de cadou pentru pasionatii de decor.","{https://gvqgmivhqfsdswrtaxyl.supabase.co/storage/v1/object/public/imagini-produse/Vaza%20moderna.png, https://gvqgmivhqfsdswrtaxyl.supabase.co/storage/v1/object/public/imagini-produse/Vaza%20moderna%202.png}",
13,Vaza iepuras,Decoratiuni,"O vaza tematica jucausa, perfecta pentru mesele festive sau pentru un raft cu personalitate. Aduce un strop de bucurie oricarui spatiu, indiferent de ocazie. Ideea perfecta de cadou pentru cineva care apreciaza decorul unic.",{https://gvqgmivhqfsdswrtaxyl.supabase.co/storage/v1/object/public/imagini-produse/Vaza%20iepuras.png},
14,Vaza model simplu si liniat,Decoratiuni,"O vaza cu linii simple si curate, gandita pentru cei care prefera un stil minimalist in decor. Se potriveste usor cu orice stil de amenajare, de la modern la scandinav. O piesa discreta, dar plina de eleganta.",,
15,Vaza model abstract,Decoratiuni,"Aceasta vaza cu forma abstracta aduce un aer artistic si indraznet oricarui spatiu. Fiecare unghi dezvaluie o forma diferita, ceea ce o face o piesa memorabila de decor. Perfecta pentru cei care vor ceva iesit din tipare.",,
16,"Semn ""Welcome to our Home""",Decoratiuni,"Acest semn decorativ  ""Welcome to our Home""�aduce un plus de caldura intrarii in casa ta. Design elegant, usor de agatat pe perete sau usa. Un detaliu mic care spune multe despre atmosfera din casa ta.",,
17,Vaza inalta,Decoratiuni,"O vaza inalta si eleganta, perfecta pentru aranjamente florale mai ample sau pentru crengi decorative. Baza stabila si asigura echilibrul, indiferent de continut. O piesa de efect pentru living sau hol.",,
18,Semn litera cu nume personalizabil,Decoratiuni,"Acest semn litera se personalizeaza cu numele sau cuvantul dorit, devenind o piesa unica de decor. Perfect pentru camera copiilor, birou sau ca idee de cadou personalizat. Alegi literele, culorile si creezi ceva doar al tau",,
19,Suport hartie igienica cu sertar,Organizarea casei,"Acest suport pentru hartie igienia vine cu un sertar practic, perfect pentru servetele umede sau alte maruntisuri de baie. Se monteaza usor pe perete si rezista bine la umezeala specifica baii. Un accesoriu functional care aduce si un plus de stil spatiului tau.",{https://gvqgmivhqfsdswrtaxyl.supabase.co/storage/v1/object/public/imagini-produse/Suport%20hartie%20igienica%20cu%20sertar%20.png},49.99
20,Suport hartie igienica simplu,Organizarea casei,"Un suport minimalist pentru hartie igienica, gandit pentru schimbarea rapida a rolei, fara mecanisme complicate. Se monteaza simplu pe perete, cu doar doua suruburi. Ideal pentru o baie moderna, ordonata si fara batai de cap.",{https://gvqgmivhqfsdswrtaxyl.supabase.co/storage/v1/object/public/imagini-produse/Suport%20simplu%20de%20hartie%20igienica.png},29.99
21,Suport pentru prosop,Organizarea casei,"Acest suport tine prosopul la indemana si il lasa sa se usuce corect, fara sa ocupe loc pe blat sau pe calorifer. Montaj simplu pe perete, potrivit pentru baie sau bucatarie. Un mic detaliu care aduce ordine in plus.",{https://gvqgmivhqfsdswrtaxyl.supabase.co/storage/v1/object/public/imagini-produse/Suport%20prosop.png},
22,Suport pentru pahare,Organizarea casei,"Un suport practic care tine paharele la un loc, ordonate si ferite de spargere accidentala. Se potriveste perfect pe orice blat de bucatarie sau baie. Simplu si stabil, exact ce ai nevoie pentru un spatiu mai organizat.",,
23,Suport pentru pachet de servetele,Organizarea casei,"Acest suport tine pachetul de servetele la un loc fix, gata de folosit, fara sa se plimbe pe masa sau blat. Design simplu, care se potriveste oricarui stil de bucatarie sau living. Un obiect mic, dar util in fiecare zi.",,
24,Suport pentru hartie de bucatarie,Organizarea casei,"Acest suport tine rola de hartie de bucatarie la indemana, fixa si usor de folosit cu o singura mana. Se poate aseza direct pe blat, fara montaj. Practic pentru orice bucatarie aglomerata.",,
25,Suport pentru sticle de vin,Organizarea casei,"Un suport elegant care tine sticlele de vin depozitate corect, orizontal, gata pentru orice ocazie. Design stabil, potrivit pentru bucatarie, living sau bar personal. Un accesoriu practic pentru orice iubitor de vin.",,
26,Suport pentru sticle si pahare de vin,Organizarea casei,"Acest suport combina spatiul pentru sticle cu locuri dedicate pentru pahare, Intr-un singur obiect compact. Ideal pentru cei care vor sa-si organizeze coltul de vin fara sa ocupe mult spatiu. Practic si elegant, gata pentru orice seara cu prieteni.",,
27,Suport pentru telecomenzi,Organizarea casei,"Acest suport tine toate telecomenzile la un loc, ordonate si usor de gasit, fara sa mai scotociti prin canapea. Se aseaza simplu pe masa sau raft. Ordine in living, intr-un obiect mic.",,
28,Suport pentru bijuterii in forma de coroana,Organizarea casei,"Acest suport in forma de coroana tine inelele, bratarile sau cerceii la un loc, vizibile si ferite de incurcaturi. Design decorativ, potrivit pentru comoda sau masuta de machiaj. Practic si frumos, in acelasi timp.",,
29,Suport de telefon simplu,Birotica,"Acest suport de telefon minimalist tine telefonul la unghiul potrivit pentru apeluri video, filme sau notificari, fara sa mai fie nevoie sa-l tii in mana. Se potriveste cu majoritatea modelelor de smartphone si sta stabil pe orice birou sau noptiera. Un accesoriu mic, dar care iti face ziua putin mai ordonata.",{https://gvqgmivhqfsdswrtaxyl.supabase.co/storage/v1/object/public/imagini-produse/Suport%20de%20telefon%20.png},29.99
30,Suport de telefon in forma de inima,Birotica,"Un suport de telefon cu un strop de personalitate, perfect pentru cei care vor ceva mai mult decat un accesoriu banal pe birou. Forma de inima aduce culoare spatiului tau de lucru, iar designul stabil tine telefonul la unghiul ideal pentru apeluri video sau filme. Practic si dragut, in acelasi timp.",{https://gvqgmivhqfsdswrtaxyl.supabase.co/storage/v1/object/public/imagini-produse/Suport%20telefon%20in%20forma%20de%20inima.png},34.99
31,Suport pentru casti cu prindere de blat,Birotica,"Acest suport pentru casti se prinde direct de marginea biroului, fara suruburi in perete sau adezivi, doar cu un sistem de fixare reglabil. Iti elibereaza spatiul de pe masa si tine castile mereu la indemana, protejate de deformare datorita bratului curbat. Ideal pentru orice setup de gaming sau birou de lucru.",{https://gvqgmivhqfsdswrtaxyl.supabase.co/storage/v1/object/public/imagini-produse/Suport%20casti%20cu%20prindere%20de%20blat.png},29.99
32,Suport de pixuri simplu,Birotica,"Un suport clasic si practic pentru pixuri, markere sau alte instrumente de scris, gandit sa-ti tina biroul ordonat. Baza stabila previne rasturnarile, iar designul neutru se potriveste oricarui decor. Simplu, functional, exact ce ai nevoie.",,28.49
33,Suport de pixuri pahar Erlenmeyer,Birotica,"Pentru cei care vor un pic de personalitate pe birou, acest suport de pixuri are forma unui vas de laborator, cu o bazs lata care iti ofera stabilitate excelenta. Tine pixurile grupate si usor accesibile, In timp ce transforma un accesoriu banal intr-un subiect de conversatie. Perfect pentru pasionații de știință sau pentru oricine vrea ceva diferit.",,24.99
34,Organizator de birou,Birotica,"Acest organizator complex centralizeaza tot ce ai nevoie pe birou, de la pixuri si agrafe, la notite si alte maruntisuri. Compartimentele multiple folosesc spatiul pe verticala, tinand totul la vedere si usor de gasit. Liniile curate se integreaza perfect in orice birou modern.",,54.99
35,Suport de incarcare pentru ceas,Birotica,"Acest suport tine incarcatorul ceasului tau smart intr-o pozitie fixa si ordonata, fara cabluri care se plimba pe birou sau pe noptiera. Design compact si stabil, gandit special pentru rutina zilnica de incarcare. Un mic detaliu care aduce putina ordine in plus.",,
36,Cos de gunoi cu prindere sub birou,Birotica,"Acest cos de gunoi se prinde direct sub birou, eliberand spatiul de pe podea si tinand totul la indemana. Perfect pentru resturile marunte de zi cu zi, fara sa ocupe loc suplimentar in camera. O solutie discreta si practica pentru orice spatiu de lucru.",,
37,Cosulet pentru birou,Birotica,"Un cosulet compact, ideal pentru a tine la un loc maruntisurile de pe birou: agrafe, radiere, notite adezive sau alte lucruri mici care altfel se pierd. Design simplu si stabil, care se potriveste pe orice suprafata de lucru. Ordine, intr-un obiect mic.",,
38,Organizator de birou cu suport de telefon inclus,Birotica,"Acest organizator 2-in-1 imbina un spatiu generos pentru pixuri si accesorii de birou cu un suport integrat pentru telefon. Ai totul la un loc, fara sa mai aglomerezi biroul cu obiecte separate. Practic pentru cei care vor un spatiu de lucru cat mai eficient.",,
39,Organizator de birou modern si simplist,Birotica,"Un organizator cu linii curate si un aspect minimalist, gandit pentru cei care prefera un birou ordonat, fara elemente in plus. Compartimentele te ajuta sa tii la indemana tot ce folosesti zilnic. Design discret, care se potriveste in orice spatiu de lucru.",,
40,Suport de pixuri modern,Birotica,"Acest suport de pixuri cu un design modern aduce un plus de stil biroului tau, fara sa sacrifice functionalitatea. Baza stabila tine pixurile organizate si usor accesibile. O alegere simpla pentru un birou mai ordonat.",,
41,Suport de pixuri set de cauciucuri,Birotica,"Un suport de pixuri cu un design inspirat din lumea auto, ideal pentru pasionatii de masini care vor un accent diferit pe birou. Tine pixurile la un loc, intr-un mod stabil si practic. Un obiect mic care spune ceva despre pasiunile tale.",,
42,Suport de pixuri F1,Birotica,"Acest suport de pixuri e gandit pentru fanii Formula 1, aducand un strop din spiritul curselor direct pe biroul tau. Design stabil si practic, care tine pixurile organizate si la indemana. Perfect ca accesoriu de birou sau ca idee de cadou pentru un pasionat de motorsport.",,
43,Organizator stickuri USB - SD card - MicroSD,Birotica,"Acest organizator tine la un loc toate stick-urile USB, cardurile SD si microSD, ca sa nu le mai cauti prin sertare. Compartimentele dedicate pastreaza fiecare accesoriu la locul lui, usor de identificat. Ideal pentru fotografi, editori video sau oricine lucreaza cu multe carduri de memorie.",,
44,Suport de casti in forma de cactus,Birotica,"Un suport pentru casti cu o forma jucausa de cactus, care aduce putin haz pe biroul tau. Tine castile organizate si ferite de zgarieturi atunci cand nu le folosesti. Un accesoriu functional care nu se ia prea in serios.",,
45,Suport de telefon,Birotica,"Un suport de telefon simplu si stabil, gandit sa-ti tina dispozitivul la unghiul potrivit pentru vizionat, apeluri video sau notificari. Se potriveste majoritatii modelelor de smartphone si ocupa putin spatiu pe birou sau noptiera. Practic, discret, exact ce trebuie.",,
46,Suport pentru laptop,Birotica,"Acest suport pentru laptop ridica ecranul la o inaltime mai confortabila pentru gat si spate, in timp ce lasa loc de aerisire dedesubt. Structura stabila sustine laptopul in siguranta, indiferent de pozitia de lucru. Un mic upgrade pentru un birou mai sanatos.",,
47,Tablita de organizare cabluri/birou cu prindere de blat,Birotica,"Aceasta tablita se prinde de marginea biroului si tine cablurile ordonate, departe de vedere si de incurcaturi. Se montează rapid, fara gauri sau adezivi. O solutie simpla pentru un birou mai curat vizual.",,
48,Tavita pentru organizarea biroului,Birotica,"O tavita practica pentru tot ce ai nevoie la indemana pe birou: chei, pixuri, cartele sau alte maruntisuri. Design simplu si stabil, care se potriveste oricarui stil de birou. Micul detaliu care tne lucrurile la locul lor.",,
